CCAA;PROVINCIA;MUNICIPIO;CCA;CPROV;CMUN;NATCODE;COLOR;PARTIDO;VOTOS
Aragón;Huesca;Abiego;02;22;001;34022222001;#0096D3;pp;0
Aragón;Huesca;Abiego;02;22;001;34022222001;#63B33B;vox;8
Aragón;Huesca;Abiego;02;22;001;34022222001;#CF181E;psoe;48
Aragón;Huesca;Abiego;02;22;001;34022222001;#C7C6C9;escanos-en-blanco;1
Aragón;Huesca;Abiego;02;22;001;34022222001;#ABAAAD;equo;68
Aragón;Huesca;Abiego;02;22;001;34022222001;#ABAAAD;fia;1
Aragón;Huesca;Abiego;02;22;001;34022222001;#ABAAAD;iua;0
Aragón;Huesca;Abiego;02;22;001;34022222001;#878787;cha;19
Aragón;Huesca;Abiego;02;22;001;34022222001;#ABAAAD;par;9
Aragón;Huesca;Abiego;02;22;001;34022222001;#813F91;podemos;7
Aragón;Huesca;Abiego;02;22;001;34022222001;#ABAAAD;existe;0
Aragón;Huesca;Abiego;02;22;001;34022222001;#ABAAAD;etxsbc;3
Aragón;Huesca;Abiego;02;22;001;34022222001;#ABAAAD;cs-tu-aragon;1
Aragón;Huesca;Abizanda;02;22;002;34022222002;#0096D3;pp;0
Aragón;Huesca;Abizanda;02;22;002;34022222002;#63B33B;vox;5
Aragón;Huesca;Abizanda;02;22;002;34022222002;#CF181E;psoe;36
Aragón;Huesca;Abizanda;02;22;002;34022222002;#C7C6C9;escanos-en-blanco;1
Aragón;Huesca;Abizanda;02;22;002;34022222002;#ABAAAD;equo;24
Aragón;Huesca;Abizanda;02;22;002;34022222002;#ABAAAD;fia;0
Aragón;Huesca;Abizanda;02;22;002;34022222002;#ABAAAD;iua;0
Aragón;Huesca;Abizanda;02;22;002;34022222002;#878787;cha;5
Aragón;Huesca;Abizanda;02;22;002;34022222002;#ABAAAD;par;2
Aragón;Huesca;Abizanda;02;22;002;34022222002;#813F91;podemos;19
Aragón;Huesca;Abizanda;02;22;002;34022222002;#ABAAAD;existe;0
Aragón;Huesca;Abizanda;02;22;002;34022222002;#ABAAAD;etxsbc;2
Aragón;Huesca;Abizanda;02;22;002;34022222002;#ABAAAD;cs-tu-aragon;1
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#0096D3;pp;0
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#63B33B;vox;8
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#CF181E;psoe;31
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#C7C6C9;escanos-en-blanco;2
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#ABAAAD;equo;40
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#ABAAAD;fia;0
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#ABAAAD;iua;0
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#878787;cha;19
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#ABAAAD;par;6
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#813F91;podemos;2
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#ABAAAD;existe;0
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#ABAAAD;etxsbc;1
Aragón;Huesca;Adahuesca;02;22;003;34022222003;#ABAAAD;cs-tu-aragon;8
Aragón;Huesca;Agüero;02;22;004;34022222004;#0096D3;pp;0
Aragón;Huesca;Agüero;02;22;004;34022222004;#63B33B;vox;12
Aragón;Huesca;Agüero;02;22;004;34022222004;#CF181E;psoe;30
Aragón;Huesca;Agüero;02;22;004;34022222004;#C7C6C9;escanos-en-blanco;0
Aragón;Huesca;Agüero;02;22;004;34022222004;#ABAAAD;equo;21
Aragón;Huesca;Agüero;02;22;004;34022222004;#ABAAAD;fia;0
Aragón;Huesca;Agüero;02;22;004;34022222004;#ABAAAD;iua;2
Aragón;Huesca;Agüero;02;22;004;34022222004;#878787;cha;9
Aragón;Huesca;Agüero;02;22;004;34022222004;#ABAAAD;par;5
Aragón;Huesca;Agüero;02;22;004;34022222004;#813F91;podemos;5
Aragón;Huesca;Agüero;02;22;004;34022222004;#ABAAAD;existe;0
Aragón;Huesca;Agüero;02;22;004;34022222004;#ABAAAD;etxsbc;2
Aragón;Huesca;Agüero;02;22;004;34022222004;#ABAAAD;cs-tu-aragon;0
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#0096D3;pp;9
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#63B33B;vox;114
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#CF181E;psoe;492
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#C7C6C9;escanos-en-blanco;3
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#ABAAAD;equo;152
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#ABAAAD;fia;0
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#ABAAAD;iua;2
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#878787;cha;111
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#ABAAAD;par;40
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#813F91;podemos;55
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#ABAAAD;existe;2
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#ABAAAD;etxsbc;63
Aragón;Huesca;Aínsa-Sobrarbe;02;22;907;34022222907;#ABAAAD;cs-tu-aragon;29
Aragón;Huesca;Aisa;02;22;006;34022222006;#0096D3;pp;0
Aragón;Huesca;Aisa;02;22;006;34022222006;#63B33B;vox;23
Aragón;Huesca;Aisa;02;22;006;34022222006;#CF181E;psoe;74
Aragón;Huesca;Aisa;02;22;006;34022222006;#C7C6C9;escanos-en-blanco;0
Aragón;Huesca;Aisa;02;22;006;34022222006;#ABAAAD;equo;28
Aragón;Huesca;Aisa;02;22;006;34022222006;#ABAAAD;fia;0
Aragón;Huesca;Aisa;02;22;006;34022222006;#ABAAAD;iua;0
Aragón;Huesca;Aisa;02;22;006;34022222006;#878787;cha;21
Aragón;Huesca;Aisa;02;22;006;34022222006;#ABAAAD;par;9
Aragón;Huesca;Aisa;02;22;006;34022222006;#813F91;podemos;17
Aragón;Huesca;Aisa;02;22;006;34022222006;#ABAAAD;existe;0
Aragón;Huesca;Aisa;02;22;006;34022222006;#ABAAAD;etxsbc;24
Aragón;Huesca;Aisa;02;22;006;34022222006;#ABAAAD;cs-tu-aragon;8
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#0096D3;pp;1
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#63B33B;vox;32
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#CF181E;psoe;213
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#C7C6C9;escanos-en-blanco;0
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#ABAAAD;equo;178
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#ABAAAD;fia;0
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#ABAAAD;iua;0
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#878787;cha;71
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#ABAAAD;par;23
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#813F91;podemos;44
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#ABAAAD;existe;0
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#ABAAAD;etxsbc;13
Aragón;Huesca;Albalate de Cinca;02;22;007;34022222007;#ABAAAD;cs-tu-aragon;1
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#0096D3;pp;0
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#63B33B;vox;4
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#CF181E;psoe;25
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#C7C6C9;escanos-en-blanco;0
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#ABAAAD;equo;12
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#ABAAAD;fia;1
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#ABAAAD;iua;0
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#878787;cha;9
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#ABAAAD;par;8
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#813F91;podemos;51
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#ABAAAD;existe;0
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#ABAAAD;etxsbc;10
Aragón;Huesca;Albalatillo;02;22;008;34022222008;#ABAAAD;cs-tu-aragon;1
Aragón;Huesca;Albelda;02;22;009;34022222009;#0096D3;pp;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#63B33B;vox;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#CF181E;psoe;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#C7C6C9;escanos-en-blanco;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#ABAAAD;equo;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#ABAAAD;fia;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#ABAAAD;iua;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#878787;cha;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#ABAAAD;par;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#813F91;podemos;0
Aragón;Huesca;Albelda;02;22;009;34022222009;#ABAAAD;existe;0
