CCAA;PROVINCIA;MUNICIPIO;CCA;CPROV;CMUN;NATCODE;COLOR;PARTIDO;VOTOS
Andalucía;Almería;Abla;01;04;001;34010404001;#0096D3;pp;454
Andalucía;Almería;Abla;01;04;001;34010404001;#CF181E;psoe;351
Andalucía;Almería;Abla;01;04;001;34010404001;#813F91;con-andalucia;0
Andalucía;Almería;Abrucena;01;04;002;34010404002;#0096D3;pp;369
Andalucía;Almería;Abrucena;01;04;002;34010404002;#CF181E;psoe;517
Andalucía;Almería;Abrucena;01;04;002;34010404002;#63B33B;vox;0
Andalucía;Almería;Adra;01;04;003;34010404003;#0096D3;pp;8728
Andalucía;Almería;Adra;01;04;003;34010404003;#CF181E;psoe;294
Andalucía;Almería;Adra;01;04;003;34010404003;#63B33B;vox;1098
Andalucía;Almería;Adra;01;04;003;34010404003;#ABAAAD;plataformadra;971
Andalucía;Almería;Albanchez;01;04;004;34010404004;#0096D3;pp;343
Andalucía;Almería;Albanchez;01;04;004;34010404004;#CF181E;psoe;88
Andalucía;Almería;Alboloduy;01;04;005;34010404005;#0096D3;pp;300
Andalucía;Almería;Alboloduy;01;04;005;34010404005;#CF181E;psoe;164
Andalucía;Almería;Albox;01;04;006;34010404006;#0096D3;pp;640
Andalucía;Almería;Albox;01;04;006;34010404006;#CF181E;psoe;157
Andalucía;Almería;Albox;01;04;006;34010404006;#63B33B;vox;2662
Andalucía;Almería;Albox;01;04;006;34010404006;#ABAAAD;ucin;1591
Andalucía;Almería;Alcolea;01;04;007;34010404007;#0096D3;pp;34
Andalucía;Almería;Alcolea;01;04;007;34010404007;#CF181E;psoe;173
Andalucía;Almería;Alcolea;01;04;007;34010404007;#813F91;con-andalucia;373
Andalucía;Almería;Alcóntar;01;04;008;34010404008;#0096D3;pp;294
Andalucía;Almería;Alcóntar;01;04;008;34010404008;#CF181E;psoe;0
Andalucía;Almería;Alcóntar;01;04;008;34010404008;#ABAAAD;espana-vaciada;73
